id;address;bar_codes;date_of_registration;fax;floor;inernationalobserviation;main_street;mobile;plaque;postal_code;registration_number;telephone;temp_id;the_side_street;title;unit;city_code
1;towards jangle;decontrol;purloin;while discipline;trifling body occasional;brief vehicle;qua boo;flawless;urgently elegantly;lest ick accomplished;oof modulo;1-616-857-1483 x795;25827;snooze lighthearted;gosh;if;afore beneath clever
2;level brr;roof;that beneficial offensively;educated;simulate chick instead;somersault designate lest;opportunity bookcase powerful;besides;anenst ew;picket finally equally;jagged detour;751.283.2146 x45375;954;how;use;during supposing;youthfully excluding arrogantly
3;reactant although;weakly from;emancipate;relapse revenue successfully;gratefully once qua;tragic when home;beyond;sadly married;save;attendance;upliftingly;(655) 854-1456 x1792;32525;or notarize usefully;polarize;instead ha;under beyond
4;blond goad;whoa foolishly;graduation need;before boohoo modulo;uneven cowboy;consequently location quicker;whenever;puritan um pinstripe;ah including furthermore;whoever tart;zowie witty bustling;281.313.1109 x2055;21968;building medication;turf;scarily;aha
5;minus advise;inasmuch;complete;icky for;sparkling brr;pertinent how alphabetize;besides instinct;um finally sesame;awful hence;offbeat quarrelsomely fortify;calmly soupy;835-267-0880 x00700;10966;regarding;creative briefly pertinent;shiny;silently
6;thankful pfft;devoted sputter notwithstanding;knowledgeably;discussion stockpile;drat weakly supposing;bad lest cigarette;whoa tanker amidst;unless;shabby armour;weakly and;living for approach;844.493.3933;5545;unless twine;deafening;gnat;after periodic
7;force lift;testy disprove;once;ugh ouch;as;warmly;zowie;lest;refurbish noun;gray bake within;continually temptation;(218) 853-1315;7713;refill authorized;now shed how;through atop;mortally slime promulgate
8;ew;ugh motherly;unnaturally uh-huh roommate;why abaft;articulate;furthermore likewise;until whenever upon;brr continually;crossly;outside;behavior at;938.331.0946 x07742;17604;circular gosh;ramen commentate longboat;below knowing;mmm
9;underneath;frankly brr whenever;blah pharmacopoeia;irritably sycamore volumize;questionably;encyclopedia;measles intelligent;safe however alias;meanwhile;dense springboard upon;weary;1-262-414-4818 x07228;5318;late instead fortunately;decadence yearly;gah oof;dimple because
10;pantsuit;bah;amidst tomatillo;partner unlike;however psst;ew;excluding qua dispatch;next cruelly;correctly gracefully loudly;up covariate;cheerfully resurface;324-207-9382;4633;without urban;yum hideous deep;underneath gracefully curiously;psst
