id;date_of_start_relation;credit_limit;revoked_date;revoked_note;confidential;other_broker_services;sanctioned_status;considerations;description;ways_of_communication;services_available;customer_acceptance_policy
1;shyly;quicker;duh if doubtfully;fend;consequently loosely lour;hence mid bookmark;after scar impressionable;obedient ordinary;that;gosh;joust;what
2;lest;gah;pace versus essential;party eek;process;minus gadzooks;wheel unfortunate behind;unwelcome;commit gosh;informal acidly;embassy coolly;hastily waterlogged
3;voter judicious alongside;withdrawal;with jubilantly sweetly;food inasmuch onion;yippee yippee cautiously;parse;external ringed;unlike which indeed;psst;as because;truthfully buzzing what;cruelly ride
4;once immaculate provided;beneath hence;boohoo classify;compliment supposing atop;yahoo unlike;along;boohoo worldly afore;fooey unacceptable;disprove writhing;exaggerate ramie jubilantly;upside-down indeed;adventurously
5;ouch duh per;till psst nuke;defiantly gauntlet;disdain queen abduct;roust knitting because;luxurious;better gesture;pfft perpetuate;given suspiciously;afore which;bandy;aha
6;after underneath;ultimately bleach beneath;pfft grimy;poison reanimate whose;finish instead;preclude blah readily;modulo yet;industrialization;virtual;injury among aw;miserable fooey;on like with
7;guffaw;than feast;roast;for dory;hm;snap;thirsty smelt;soupy drat;instead;though chilly;yesterday ill-fated mooch;comportment warm apropos
8;fortunate cinnamon;gasket manufacture;freely robust pish;above er;since sadly on;circa rigidly;yahoo subject shyly;solidly beret coil;despite ick;aha obedience sorrow;screamer poison;closely sloth whether
9;inside since;reborn;pat gah;pilfer obedience;geez char courageously;intent round yuck;modulo;brr brother-in-law;perambulate;pish;aluminum photocopy siphon;tiny gadzooks life
10;safari;who;lovingly general;trifle meow;underneath although;misplace wander;bribery;bah crown;simvastatin however;coolly plumber;gah because;permafrost hmph
